#Longitude	Latitude
167.88	-46.744
167.94	-46.948
167.65	-47.219
167.70	-46.767
167.88	-46.744
	
172.07	-41.051
172.49	-40.650
172.98	-41.051
173.59	-41.059
173.79	-41.267
174.07	-41.034
174.05	-41.524
173.70	-42.338
173.09	-42.988
172.81	-43.150
172.68	-43.663
172.40	-43.767
171.67	-44.125
171.23	-44.780
170.85	-45.589
170.66	-46.021
169.69	-46.486
168.85	-46.653
168.27	-46.464
167.32	-46.258
166.62	-46.082
166.87	-45.721
166.84	-45.365
167.01	-45.217
167.37	-45.038
167.94	-44.331
169.15	-43.791
170.34	-43.053
171.21	-42.314
171.99	-41.400
172.07	-41.051
	
172.82	-34.468
173.02	-34.850
173.73	-35.059
174.21	-35.420
174.23	-35.896
174.65	-36.654
174.85	-36.973
175.40	-36.778
175.71	-36.876
175.90	-37.615
177.38	-37.930
178.26	-37.615
178.26	-38.451
177.81	-39.260
176.87	-39.397
176.62	-40.330
175.30	-41.582
175.00	-40.842
174.27	-39.695
174.57	-38.442
174.76	-37.527
174.43	-37.008
174.26	-36.432
174.01	-36.388
173.27	-35.474
172.68	-34.560
172.82	-34.468
	
183.68	-43.791
183.31	-44.069
183.68	-43.791
	
288.53	-30.000
288.28	-31.203
288.40	-33.030
287.98	-34.538
287.32	-35.947
286.80	-36.934
286.37	-37.918
286.63	-39.103
286.30	-40.065
286.29	-41.554
287.19	-41.554
287.23	-41.999
287.47	-42.612
286.99	-43.564
286.79	-44.130
286.75	-44.170
	
286.75	-44.170
287.31	-44.785
286.79	-45.300
286.50	-45.509
286.73	-45.787
286.43	-46.194
286.47	-46.301
285.88	-46.446
285.66	-45.887
285.25	-46.125
284.65	-46.976
285.42	-46.817
285.82	-47.239
285.92	-47.791
286.36	-48.146
285.50	-48.116
286.24	-48.608
285.70	-49.174
286.11	-49.383
285.76	-49.777
285.90	-50.442
286.29	-50.729
286.50	-51.643
286.72	-51.780
287.25	-51.827
287.50	-51.807
287.39	-52.424
288.09	-52.558
288.22	-53.264
288.15	-53.723
289.04	-53.283
289.57	-52.705
290.77	-52.248
291.63	-52.323
	
291.63	-52.323
290.98	-51.697
290.71	-51.084
291.50	-50.068
292.16	-49.954
292.82	-48.812
294.24	-48.005
293.50	-47.096
292.58	-45.872
293.83	-45.051
294.72	-44.525
295.39	-43.171
295.71	-43.042
	
295.71	-43.042
295.16	-42.661
296.42	-42.596
295.40	-42.392
295.14	-40.781
297.14	-41.081
297.75	-39.871
298.19	-38.957
300.00	-38.833
	
286.12	-41.752
286.47	-42.024
286.32	-42.758
286.06	-43.436
285.90	-41.966
286.12	-41.752
	
286.99	-44.407
287.19	-44.706
286.99	-44.407
	
285.70	-44.651
285.80	-44.785
285.70	-44.651
	
285.77	-45.051
	
285.83	-45.129
286.00	-45.160
285.83	-45.129
	
285.86	-45.238
285.94	-45.323
285.86	-45.238
	
286.13	-45.795
	
285.70	-47.776
	
285.02	-47.702
	
284.86	-48.094
285.06	-48.344
284.86	-48.094
	
284.56	-48.168
284.84	-48.396
284.56	-48.168
	
285.08	-48.410
285.26	-48.586
285.08	-48.410
	
284.53	-48.608
284.64	-48.695
284.53	-48.608
	
284.99	-48.986
285.49	-48.935
285.15	-49.805
284.89	-49.275
284.99	-48.986
	
284.48	-49.705
284.73	-49.862
284.48	-49.705
	
284.62	-50.301
285.10	-50.287
284.62	-50.301
	
285.56	-50.687
285.64	-50.555
285.56	-50.687
	
285.56	-51.001
285.18	-50.681
285.59	-50.966
	
285.12	-51.430
285.37	-51.416
285.12	-51.430
	
285.13	-52.140
285.22	-51.889
285.13	-52.140
	
285.94	-51.677
285.83	-51.602
285.94	-51.677
	
286.29	-51.533
286.11	-51.423
286.29	-51.533
	
286.46	-52.221
286.99	-52.181
287.37	-52.194
287.55	-52.919
288.37	-52.965
287.54	-53.316
287.20	-53.230
286.76	-52.932
286.46	-52.289
286.46	-52.221
	
286.28	-52.451
286.12	-52.672
286.23	-52.457
286.28	-52.451
	
285.33	-52.759
285.87	-52.999
286.63	-53.217
286.28	-53.184
285.53	-53.019
285.33	-52.759
	
285.37	-51.732
285.37	-52.093
285.34	-51.725
285.37	-51.732
	
286.39	-53.395
286.92	-53.448
287.51	-53.605
287.63	-54.035
287.10	-54.074
286.73	-53.795
286.39	-53.395
	
288.12	-53.860
288.38	-54.029
288.98	-54.216
288.32	-54.300
287.82	-53.951
288.12	-53.860
	
291.35	-52.659
291.78	-53.111
292.10	-53.730
293.20	-54.242
294.64	-54.697
294.03	-54.964
292.52	-54.876
291.41	-54.895
	
289.45	-53.592
289.63	-54.055
289.68	-54.281
289.27	-53.873
289.45	-53.592
	
289.00	-55.110
289.25	-55.129
289.00	-55.110
	
289.64	-55.274
289.56	-55.148
289.64	-55.274
	
290.84	-54.996
290.16	-55.015
290.81	-54.958
290.84	-54.996
	
290.06	-55.173
291.05	-55.028
291.41	-55.148
291.82	-55.286
292.01	-55.524
291.55	-55.474
291.01	-55.274
290.60	-55.443
290.27	-55.292
290.06	-55.173
	
291.91	-55.015
292.36	-54.939
292.77	-55.330
292.31	-55.236
291.91	-55.015
	
293.39	-55.224
293.38	-55.217
	
295.59	-54.799
296.29	-54.736
295.74	-54.863
295.59	-54.799
	
299.11	-51.820
298.84	-51.875
298.95	-51.800
299.11	-51.820
	
300.00	-51.995
299.84	-52.052
299.33	-52.194
299.66	-51.957
299.89	-51.643
299.57	-51.416
300.00	-51.419
	
291.26	-52.659
290.31	-52.636
289.72	-53.042
290.45	-53.328
289.94	-54.107
290.11	-54.401
289.33	-54.254
288.91	-54.483
289.08	-54.726
290.03	-54.855
291.41	-54.895
	
293.25	-55.130
293.04	-55.076
293.10	-55.030
293.25	-55.115
293.25	-55.130
	
293.18	-55.361
292.99	-55.307
293.18	-55.300
293.18	-55.361
	
300.00	-38.833
300.33	-38.811
302.17	-38.335
303.29	-36.473
302.63	-35.237
301.52	-34.008
301.52	-33.999
	
301.52	-33.999
302.54	-34.483
304.47	-34.820
306.26	-34.191
306.56	-33.748
	
300.69	-51.423
300.44	-51.841
300.00	-51.995
	
300.00	-51.419
300.69	-51.423
	
302.15	-51.767
301.64	-51.900
301.30	-51.958
301.27	-52.066
300.99	-52.157
300.79	-52.182
300.50	-52.240
300.48	-51.958
300.83	-51.716
301.02	-51.666
301.15	-51.389
301.66	-51.398
302.24	-51.515
302.28	-51.683
302.15	-51.767
	
321.88	-54.029
322.55	-53.977
323.19	-54.132
323.63	-54.300
324.11	-54.710
323.75	-54.774
323.10	-54.365
322.35	-54.171
321.87	-54.016
321.88	-54.029
	
308.73	-30.003
309.04	-30.386
309.25	-30.462
308.80	-31.270
307.97	-31.873
307.81	-31.732
308.38	-31.194
308.70	-30.386
308.73	-30.003
	
306.56	-33.748
